site,target,mission,lat,lon,b_orb_nt,b_surf_est_nt,class,source
Faustini Rim A,Moon,Artemis III,-85.3,77.0,0.45,0.45,Low/Null-Field,Hood et al. (2022)
Peak Near Shackleton,Moon,Artemis III,-89.7,166.0,0.82,0.82,Low/Null-Field,Hood et al. (2022)
Connecting Ridge,Moon,Artemis III,-88.0,137.0,0.6,0.6,Low/Null-Field,Hood et al. (2022)
Connecting Ridge Ext.,Moon,Artemis III,-88.3,148.0,0.65,0.65,Low/Null-Field,Hood et al. (2022)
de Gerlache Rim 1,Moon,Artemis III,-88.5,290.0,0.5,0.5,Low/Null-Field,Hood et al. (2022)
de Gerlache Rim 2,Moon,Artemis III,-88.7,294.0,0.48,0.48,Low/Null-Field,Hood et al. (2022)
de Gerlache-Kocher Massif,Moon,Artemis III,-86.0,285.0,0.52,0.52,Low/Null-Field,Hood et al. (2022)
Haworth,Moon,Artemis III,-87.4,358.0,0.4,0.4,Low/Null-Field,Hood et al. (2022)
Malapert Massif,Moon,Artemis III,-86.0,0.0,0.55,0.55,Low/Null-Field,Hood et al. (2022)
Leibnitz Beta Plateau,Moon,Artemis III,-85.0,31.0,0.7,0.7,Low/Null-Field,Hood et al. (2022)
Nobile Rim 1,Moon,Artemis III,-85.4,35.0,0.62,0.62,Low/Null-Field,Hood et al. (2022)
Nobile Rim 2,Moon,Artemis III,-84.8,47.0,0.58,0.58,Low/Null-Field,Hood et al. (2022)
Amundsen Rim,Moon,Artemis III,-84.5,85.0,0.65,0.65,Low/Null-Field,Hood et al. (2022)
Apollo 11,Moon,Apollo,0.67,23.47,0.93,0.93,Low/Null-Field,Hood et al. (2020)
Apollo 12,Moon,Apollo,-3.01,336.58,1.0,1.0,Low/Null-Field,Hood et al. (2020)
Apollo 14,Moon,Apollo,-3.65,342.53,0.44,0.44,Low/Null-Field,Hood et al. (2020)
Apollo 15,Moon,Apollo,26.13,3.63,0.23,0.23,Low/Null-Field,Hood et al. (2020)
Apollo 16 (Highlands),Moon,Apollo,-8.97,15.5,4.94,4.94,Moderate-Field,Hood et al. (2020)
Apollo 17,Moon,Apollo,20.19,30.77,1.08,1.08,Moderate-Field,Hood et al. (2020)
Chang'e 3,Moon,Chang'e,44.12,340.49,0.19,0.19,Low/Null-Field,Hood et al. (2020)
Chang'e 4 (SPA Basin),Moon,Chang'e,-45.46,177.6,0.72,0.72,Low/Null-Field,Hood et al. (2020)
Chang'e 5,Moon,Chang'e,43.06,308.08,0.1,0.1,Low/Null-Field,Hood et al. (2020)
Chandrayaan-3,Moon,Chandrayaan,-69.37,32.35,0.78,0.78,Low/Null-Field,Hood et al. (2022)
Jezero Crater (Perseverance),Mars,Mars 2020,18.45,77.45,2.75,23.4,Low/Null-Field,Langlais et al. (2019)
Gale Crater (Curiosity),Mars,MSL,-4.59,137.44,3.18,27.0,Low/Null-Field,Langlais et al. (2019)
Elysium Planitia (InSight),Mars,InSight,4.5,135.62,1.99,2013.0,High-Field Outpost,Johnson et al. (2020)
Meridiani Planum (Opportunity),Mars,MER-B,-1.95,354.47,2.55,21.6,Low/Null-Field,Langlais et al. (2019)
Gusev Crater (Spirit),Mars,MER-A,-14.57,175.47,9.08,77.2,Low/Null-Field,Langlais et al. (2019)
Vastitas Borealis (Phoenix),Mars,Scout,68.22,234.25,0.48,4.1,Low/Null-Field,Langlais et al. (2019)
Chryse Planitia (Viking 1),Mars,Viking,22.48,312.05,0.59,5.0,Low/Null-Field,Langlais et al. (2019)
Utopia Planitia (Viking 2),Mars,Viking,47.97,134.28,0.39,3.3,Low/Null-Field,Langlais et al. (2019)
Utopia Planitia (Zhurong),Mars,Tianwen-1,25.07,109.92,0.76,6.5,Low/Null-Field,Langlais et al. (2019)
Oxia Planum (ExoMars),Mars,Rosalind Franklin,18.27,335.37,1.82,15.5,Low/Null-Field,Langlais et al. (2019)
Arcadia Planitia (Human Candidate),Mars,Human ISRU Base,39.3,189.7,0.71,6.0,Low/Null-Field,Langlais et al. (2019)
Deuteronilus Mensae (Candidate),Mars,Human ISRU Base,39.1,23.2,0.7,5.9,Low/Null-Field,Langlais et al. (2019)
Terra Sirenum Anomaly Belt,Mars,Science Outpost,-30.0,195.0,140.07,1190.6,High-Field Outpost,Langlais et al. (2019)
